Reference(s),Qty,Value/Description,MFR,MFR No.,Mouser No.,Unit Price GBP,Total Price GBP,Link,,,
~,5 (2 assebeled),PCB and Partial assebly,JLCPCB,~,~,~,,https://jlcpcb.com/,,,
A1,1,Pi Pico with Headers,Raspberry Pi,SC0917,358-SC0917,3.75,3.75,https://www.mouser.co.uk/ProductDetail/Raspberry-Pi/SC0917?qs=T%252BzbugeAwjjvYEYcRJk%252Bxw%3D%3D,,,
SW2-9,8,Cherry Mx Brown Swtich,CHERRY,MX1A-G1NW,~,0.48,4.32,https://www.keyboardco.com/product/cherry-key-switch-module-brown-tactile-pcb-mount.asp,,,
SW1,1,Rotary Encoder,Bourns,PEC11R-4325F-S0012,652-PEC11R4325FS0012,1.68,1.68,https://www.mouser.co.uk/ProductDetail/Bourns/PEC11R-4325F-S0012?qs=Zq5ylnUbLm4xKJFZnkQTMQ%3D%3D,,,
R8,1,12kOhm Resistor,Vishay / Beyschlag,MBB02070C1202FCT00,594-MBB02070C1202FCT,0.08,0.08,https://www.mouser.co.uk/ProductDetail/Vishay-Beyschlag/MBB02070C1202FCT00?qs=sGAEpiMZZMsPqMdJzcrNwjHuaZ59ATdskTA%2FLfKLaxM%3D,,,
R7,1,1MOhm Resistor,Vishay / Beyschlag,MBB02070C1004FCT00,594-MBB02070C1004FCT,0.08,0.08,https://www.mouser.co.uk/ProductDetail/Vishay-Beyschlag/MBB02070C1004FCT00?qs=sGAEpiMZZMsPqMdJzcrNwjHuaZ59ATdsr3j17Te%2F8QU%3D,,,
"R4, R9, R10, R11, R14",5,10kOhm Resistor,Vishay / Beyschlag,MBB02070C1002FRP00,594-MBB02070C1002FRP,0.08,0.4,https://www.mouser.co.uk/ProductDetail/Vishay-Beyschlag/MBB02070C1002FRP00?qs=sGAEpiMZZMsPqMdJzcrNwjHuaZ59ATdswWwNjWQPzjw%3D,,,
"R3, R5, R6, R13",4,100kOhm Resistor,Vishay / Beyschlag,MBB02070C1003FRP00,594-MBB02070C1003FRP,0.08,0.32,https://www.mouser.co.uk/ProductDetail/Vishay-Beyschlag/MBB02070C1003FRP00?qs=sGAEpiMZZMsPqMdJzcrNwlP6xUEsytR%2FP5IIjdHA0ZY%3D,,,
J2-6,5,USB A Port,Molex,67643-0910,538-67643-0910,1.15,5.75,https://www.mouser.co.uk/ProductDetail/Molex/67643-0910?qs=EuyFtE1skifNhj6pwWTsXw%3D%3D,,,
R13,1,330Ohm Resistor,Vishay / Beyschlag,MBB02070C3300FCT00,594-MBB02070C3300FCT,0.8,0.8,https://www.mouser.co.uk/ProductDetail/Vishay-Beyschlag/MBB02070C3300FCT00?qs=6hnMQrKOY%252BZBVfSFsO%2Fs%252BA%3D%3D,,,
,,,,,,,,,,Total Price USD approx,Total Price GBP
,,,,,,,,,Items,,
,,,,,,,,,Shipping,,
,,,,,,,,,Final,,
